 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	10/29/2013 12:50:46 PM
StationID:	2013-29-10_b
Water Year Annual mean
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Overland Flow (mm/day)	PET (mm/year)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1982	719.350654967313	1.85498065224292	0.0151466646442466	0.0254195800996765	0.000420542723592539	1.99219129020189	67.0225404980584	3.44376001675505	320.099450629718	320.099450629718
1983	792.794150892617	1.98775174505665	0.0186328264597098	0.0812882276790093	0.000556348012192686	2.18845473597709	19.1088799444189	3.45260740716804	321.843359404975	321.843359404975
1984	1162.62749481364	2.92067590257529	0.0293017643433912	0.110805440120703	0.000858125226948162	1.95703899252919	20.7389300229728	4.62862354439828	315.310206771157	315.310206771157
1985	463.732301132787	1.14419635762564	0.0141269578856859	0.0691911534064639	0.000238812027320468	2.19057534587036	13.9688930885707	2.87937864150889	329.360471182338	329.360471182338
1986	700.498963597998	1.80606234712458	0.0150022241159305	0.0274258742322531	0.000416751393061948	2.08250943330847	19.0328153705114	3.26682843062243	321.996794647208	321.996794647208
1987	783.666697991749	1.9765548287271	0.0207728156031826	0.0686622691580367	0.000576473055093317	2.09071511148265	35.1943569267603	3.54922617081324	322.883651610458	322.883651610458
1988	742.908796840992	1.91230496723122	0.0176106149392278	0.0315426456434408	0.000480754005101994	2.12618008162299	27.6179972881499	3.32068863151809	321.701936536207	321.701936536207
1989	714.891916127196	1.79373477173732	0.0175820989487905	0.0719484968185778	0.000487792219686932	2.01524289292259	3.59925960331294	3.43626691681709	323.736753230641	323.736753230641
1990	781.860247759891	1.99694498065551	0.0178847667373446	0.0456248332922362	0.000491695760941241	2.06317944941771	8.92201755132507	3.56523286453004	319.781492386234	319.781492386234
1991	710.607573721014	1.809175222875	0.0159250772552441	0.0501881513950033	0.000413814779082729	2.28684466967499	14.5453173760856	3.35833013853909	322.861309991161	322.861309991161
1992	677.508014883632	1.73220729610291	0.0150168566915352	0.0382618311862257	0.000380608286271332	1.97390954200238	1.03476286518803	3.40041012034582	320.975519862068	320.975519862068
1993	849.239938231966	2.16748545377498	0.0201092856080169	0.0511623286896736	0.000564026550671698	2.18649983841046	9.8323648318709	3.77453503923255	320.485983808238	320.485983808238
1994	1074.00855619264	2.70627575687153	0.0252264360278016	0.0952339995854427	0.000769159908936309	2.10979651623034	224.771258980891	4.39859793237083	315.208085938338	315.208085938338
1995	515.027393709813	1.33128931560108	0.0103318633693083	0.0181262219411032	0.000271104233217582	2.24083335662314	4.53478492026969	2.65887090924629	327.742689047124	327.742689047124
1996	1061.1641635705	2.71616484284063	0.0251833002312033	0.0545920467339372	0.000793535849033181	2.04808732890575	192.605592833036	4.54243368504854	315.745058044356	315.745058044356
1997	854.883176822623	2.11158295614733	0.0247047160216845	0.117673423644683	0.00059654228361954	2.07776227016284	3.60443722156102	3.65759441028097	320.906861955167	320.906861955167
1998	821.095268456346	2.11779289730516	0.0173481991065402	0.0299941960303953	0.000515271797380263	2.29463685147037	0.156390555386388	3.7078827180799	318.833297640624	318.833297640624
1999	631.60208431351	1.57017197716004	0.020166373816525	0.0835306278426568	0.000488585140562485	2.27459818273828	5.41121399896207	3.09057097397622	329.107148749121	329.107148749121
2000	740.300083393853	1.90751853593822	0.0153382119640388	0.0282097665367369	0.00042549452882462	2.086603781208	43.6157992018243	3.4507148461031	320.184395211416	320.184395211416
2001	557.499283351062	1.43092562258745	0.012140687241597	0.0299918803185722	0.000310960357358404	2.13532368002737	14.1321980347852	2.96724427980601	324.687533552074	324.687533552074
2002	456.932526002499	1.17777991496962	0.0111251481083105	0.0211084237127537	0.000246965481081004	2.38453587279026	1.121486205215	2.64032676596161	329.609103312178	329.609103312178
2003	1165.6928717859	2.95518767899427	0.0265603955902179	0.0880120064094731	0.000831153362252356	1.96169234359466	109.391994280941	4.62564703344663	314.117756481986	314.117756481986
2004	1061.29650587416	2.5753802827836	0.0280323412328389	0.186182036314161	0.000693733367778339	2.08650970987159	49.0522427544445	4.57784114298494	315.257588148184	315.257588148184
2005	827.231199606716	2.12248225453248	0.0206395866035263	0.0375308924254122	0.000595238125080121	2.20906397209106	16.4992236476834	3.41989715560615	323.108493255587	323.108493255587
2006	1068.23589559069	2.60354629317362	0.0356461778843688	0.176159833152338	0.00106748400958079	2.17570699745661	12.0983305058304	4.56336586410272	320.317263827952	320.317263827952
2007	713.735266686208	1.83378050909969	0.0153148635481599	0.0327601924148393	0.00045846861267931	2.19196298837613	90.5818215657752	3.33950054528981	324.300283809254	324.300283809254
2008	835.347231305046	2.12904346337479	0.0211238383320061	0.0533950725375601	0.00057577567960167	2.20443138022605	3.29430792278566	3.78433662750887	321.794157383411	321.794157383411
2009	849.955363014532	2.18326185935208	0.01948065753632	0.0352941516900897	0.000539707667570511	2.03558730001955	36.4760403739867	3.83335825383585	317.717106403552	317.717106403552
2010	655.459851397301	1.6879886560892	0.0139442497940127	0.0278491738078255	0.000397365786762747	2.30963682986492	44.8896286151878	3.33223479813908	323.046953116335	323.046953116335
2011	1407.70467868669	3.47999532161034	0.0431228310552143	0.179684759794304	0.00138235387656407	2.16294442551484	38.6102372215291	5.41816705308169	314.910911028455	314.910911028455
