 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	9/16/2014 9:40:48 AM
StationID:	01413500
Water Year Annual mean
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Overland Flow (mm/day)	PET (mm/year)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1982	305.515263304838	1.70778860200056	0.0026130576186925	0.0448412987116003	0	1.65823657978799	118.525591997554	3.01250376902534	404.055937275187	0
1983	324.42950650191	1.790070792091	0.0032251670535862	0.0706425289351383	0	1.85241572145478	50.2676843561742	3.33627216150005	407.451240795603	0
1984	424.118667763286	2.33823973879649	0.00428897710356109	0.0904606342878179	0	1.68930131508842	55.4541459669901	4.05962974521521	400.987632535699	0
1985	184.965611588959	0.999166781709583	0.00232402012447169	0.0615043216541775	0	1.79367346933071	23.9976806514934	2.90434186957235	413.614308024169	0
1986	377.159740953262	2.05795107654752	0.00351962672710256	0.101121239066883	0	1.76824340325695	50.2332845760141	3.66154055574231	400.136338239199	0
1987	352.828209475413	1.91984181885411	0.00374400170891965	0.100840872742396	0	1.78562765717513	179.982975407555	3.74846604897179	405.162788116143	0
1988	278.212396274265	1.54834174124077	0.00267806062829647	0.0475687847391144	0	1.88989599435451	43.6725163626299	3.09815602847433	404.397565076871	0
1989	294.964129147242	1.60881489005728	0.00313700542843298	0.0805401112913511	0	1.78251266241728	6.50046316950029	3.40198634556841	405.566650409073	0
1990	355.392804548097	1.96006753249439	0.00337848892720398	0.0762913144995676	0	1.79227176368575	43.7895394734853	3.62101438198413	400.198179345709	0
1991	275.204403384109	1.50698678752718	0.00291641705663451	0.0711363834878964	0	1.96748357110116	11.5591415629041	3.25830049248482	407.691286234235	0
1992	284.174341166441	1.56508097454042	0.00279670266245408	0.0634529598619781	0	1.6789296309455	6.01943809335793	3.10506466564923	404.978721172053	0
1993	320.239849665688	1.79079013864017	0.00288627942195456	0.0461924011248825	0	1.73242272727081	187.58559004257	3.21248910641303	408.208675463532	0
1994	355.051109938996	1.97781068214588	0.00341557898704926	0.0555308770484866	0	1.75307028941931	263.327567844873	3.75448829884406	401.900343700694	0
1995	204.737094203867	1.12995671843132	0.00209089198620368	0.0461361941695931	0	1.86257156202062	13.2535428132271	2.54402570535127	414.080424579375	0
1996	526.695997638727	2.79134190608522	0.00561227164066055	0.223696116349002	0	1.63242034458849	123.114435004746	4.75124557466861	394.993873711629	0
1997	421.046534001608	2.24751947705018	0.00395462099038855	0.165511709951212	0	1.62677353772733	11.525719941742	3.69420190445195	400.894301785487	0
1998	464.712809307018	2.58545522279758	0.00420337666193023	0.0785462352128244	0	1.79551798805121	42.2676867423141	4.09364065794234	397.255722554185	0
1999	355.28054779149	1.75067272418783	0.00435054969246144	0.284803696064203	0	1.87328139737472	15.131311995968	3.75835280252383	406.347926662573	0
2000	433.397069902742	2.36641523186009	0.0039372843697271	0.115735415413889	0	1.70700652110935	37.1005831198442	4.03023561749839	395.148448241622	0
2001	237.239173920299	1.28914723612852	0.00272576080794511	0.070575216156438	0	1.74377078505062	91.8701779209308	2.90254012464667	411.362901749785	0
2002	242.357583770689	1.35361224880407	0.00251095769645719	0.0364594787179302	0	1.93995522900921	2.16963439304411	3.07912835683959	409.440246489628	0
2003	509.569967999289	2.77771775387483	0.00464770772663186	0.143495490228105	0	1.64009867076292	359.655308553572	4.59799121477809	393.120413465492	0
2004	533.570575741394	2.85830216824649	0.00535190454320293	0.194700497308727	0	1.71854364369858	115.648814032075	4.68857061076778	393.890209518549	0
2005	377.861387624405	2.06160603424166	0.0038021188549234	0.103316393089071	0	1.84244426602275	137.42767117586	3.59444019125007	403.017420516483	0
2006	605.412419490462	3.18560693879284	0.00666185514630261	0.279847784769873	0	1.75533948557637	20.0356276909716	5.26090208965781	393.929720208926	0
2007	436.447911810319	2.36128570079395	0.00437516459940757	0.138878978077035	0	1.80422996813092	136.236529910183	4.08638898548099	399.433144204715	0
2008	480.465522407147	2.61339591741846	0.00509650212458244	0.137461398995564	0	1.77385466001239	139.361463775017	4.5005950498734	398.105610788058	0
2009	447.380396979047	2.43833661659919	0.00437267534597273	0.123616557034459	0	1.70236517633686	144.916448679869	4.15861214765242	395.078265152959	0
2010	407.834658325936	2.19689448871696	0.00405801943532877	0.140032698915959	0	1.87513239221395	187.006906202627	3.99289696107806	402.030646044119	0
2011	708.965112384417	3.57228107969452	0.00761690453738112	0.489371430861351	1.0063488162597E-07	1.76236564546692	134.825660756407	5.93609874676005	389.763038347483	0
