 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	11/28/2014 2:55:34 PM
StationID:	20141128_test
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Initial Abstracted Flow (mm/day)	Overland Flow (mm/day)	PET (mm/day)	AET(mm/day)	Average Soil Root zone (mm)	Average Soil Unsaturated Zone (mm)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1/1/1981	48.2674995461725	0.689705993485741	2.50293901549263E-08	0	1.02051348601734E-05	0	1E-07	1E-07	61.322593888507	0.00082424024264299	256.829775426128	0	296.052896877866	0
1/2/1981	46.1797237053818	0.659984967229704	2.50293902045947E-08	0	1.02051348601734E-05	0	1E-07	1E-07	61.3634804833642	0.000362109272412863	266.747232762015	1.04274573358872	296.706934472195	0
1/3/1981	44.259649914614	0.632572411941237	2.5029390204597E-08	0	1.02051348601734E-05	0	1E-07	1E-07	61.4043670782215	0.00086812457482207	266.237232762015	0	297.334258555369	0
1/4/1981	42.4975416204042	0.607389383302404	2.5029390204597E-08	0	1.02051348601734E-05	0	1E-07	1E-07	61.4452536730788	0.00174121538063156	275.727232762015	1	297.936517152407	0
1/5/1981	40.8750826919571	0.58419322319943	2.5029390204597E-08	0	1.02051348601734E-05	0	1E-07	1E-07	61.486140267936	0.00177380516129113	275.217232762015	0	298.514502561912	0
1/6/1981	39.3810489711145	0.562830188841057	2.5029390204597E-08	0	1.02051348601734E-05	0	1E-07	1E-07	61.5270268627933	0.000493037848679048	274.707232762015	0	299.069589824226	0
1/7/1981	37.9809733246654	0.542807934095061	2.5029390204597E-08	0	1.02051348601734E-05	0	1E-07	1E-07	61.5679134576505	0.00193157607754646	379.748679629568	10.5551446867553	299.607206758734	0
1/8/1981	36.6876351360134	0.524312518005845	2.5029390204597E-08	0	1.02051348601734E-05	0	1E-07	1E-07	61.6085255671737	0.000736194466132245	379.238679629568	0	300.123485617558	0
1/9/1981	35.4785527907617	0.507021134720938	2.5029390204597E-08	0	1.02051348601734E-05	0	1E-07	1E-07	61.649023047196	0.000700574890612016	378.728679629568	0	300.623475021694	0
1/10/1981	34.3667549451604	0.491122035458256	2.5029390204597E-08	0	1.02051348601734E-05	0	1E-07	1E-07	61.6702598495474	0.00220239967435812	378.218679629568	0	301.089557377948	0
