 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	11/28/2014 2:55:34 PM
StationID:	20141128_test
Water Year Annual mean
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Overland Flow (mm/day)	PET (mm/year)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1982	155.935119745742	2.13302342481625	0.00026560841721941	0.0774929936055079	0	1.60738821706257	217.381994642551	3.68199141386168	284.330460063013	0
1983	195.393525628801	2.58914127101472	0.000350864786005442	0.182923353026358	0	1.8517906288556	61.2341224289341	4.1763440465478	284.203156382744	0
1984	212.542625617594	2.85185667115659	0.000397880473344591	0.160184071199678	0	1.69126200075368	90.8684712915087	4.60380716343706	282.860763070674	0
1985	113.83444176778	1.4803217865396	0.000249374512004057	0.132288859771893	0	1.7998295870423	44.7344482677536	3.49427287075445	289.203845486105	0
1986	185.770295946384	2.49645097075592	0.000320924884334673	0.137179290115855	0	1.72386976153265	170.647925776879	4.14329943325825	281.479802075548	0
1987	199.353005586161	2.59976035320167	0.000408331101812844	0.224991881098388	0	1.76112131739755	238.333321050056	4.53940730829448	285.504403258602	0
1988	142.851467084991	1.94183569239703	0.000258356408588608	0.0855483630288246	0	1.86884102344794	61.4795145242492	3.51114091036772	284.975857781003	0
1989	165.145775211832	2.15502280793935	0.000337619307994652	0.185275251060841	0	1.74376239268309	6.44746035588297	4.0370642705424	285.369490179517	0
1990	186.423882288018	2.47316711415806	0.000327787903404265	0.169430391701727	0	1.713772142758	109.368455924781	4.18616962080418	282.091132455005	0
1991	136.640426326471	1.77124108278485	0.00027927853583084	0.167804340179346	0	1.89136514553095	18.7275975992656	3.50038815304774	288.710656943015	0
1992	147.426846327781	1.92664985204884	0.000274359628749684	0.163153929125732	0	1.60093656575539	11.4771522634254	3.57982471956283	284.974029178858	0
1993	159.094089850628	2.17840115287982	0.000268979574124689	0.0771640547445468	0	1.65707935935111	341.745444546061	3.75421973882356	286.166676145057	0
1994	195.979856874776	2.6451578876221	0.000341898748585795	0.132073340266722	0	1.67200306538528	425.903029621636	4.37654929995522	282.104250203918	0
1995	110.832218382779	1.4846084540554	0.000202264484591672	0.0886609925105455	0	1.76584867800311	24.3449262736517	2.99975556239063	290.299662708299	0
1996	276.517638363166	3.5834723738429	0.000533471537734586	0.333300298404054	0	1.53017413981788	220.225457612847	5.55443435787542	278.736844282769	0
1997	219.53477692744	2.77235862586454	0.0003919464300647	0.340737975444539	0	1.52530099898665	178.112538112546	4.32570591863466	282.154751637225	0
1998	220.927513733398	2.96313592996713	0.000388734704918353	0.169477984194286	0	1.72543652793693	138.745004336878	4.54224264536046	282.714600351298	0
1999	167.278167734347	2.12005040472284	0.000376594215864657	0.251972914360356	0	1.81401452885687	6.85238558779852	4.00445954581534	286.642315239481	0
2000	207.306661984737	2.69909276046955	0.00035165179327634	0.238814959477454	0	1.63052653157291	53.9774523277698	4.45648661774674	279.747521191257	0
2001	137.12950091315	1.77553989314559	0.000284360588508131	0.168470732595047	0	1.65460211284758	165.5841928906	3.47263383342785	288.124428473961	0
2002	118.088572799657	1.57391842750251	0.000208914747059457	0.102192439369165	0	1.85193618294769	4.25414829528154	3.21466127768243	289.229231505045	0
2003	260.810157605986	3.45511040259491	0.000441758429258248	0.240135086483223	0	1.55057495174656	572.012550290412	5.23848774009807	277.942782126504	0
2004	264.447777064974	3.38066277295276	0.000501243055031748	0.366299192848951	0	1.63896664557182	160.816373976515	5.34077368841204	279.235270492121	0
2005	194.592924234527	2.53412918170734	0.000374826983777821	0.225122296630851	0	1.75571308570856	220.008065329531	4.23128273862097	283.974279425945	0
2006	285.524550582205	3.56612565646047	0.000598786853774562	0.479702281749537	0	1.67970298088816	35.0952375917409	5.64927962342104	280.645118401874	0
2007	201.00788288767	2.62476809153847	0.00037101959431575	0.224571205032227	0	1.73400856066682	165.098177300077	4.38145047428989	283.112076917628	0
2008	234.931217415661	3.10973165095352	0.000466265771707364	0.218163025067144	0	1.69735560091849	294.627431665559	5.09901256493931	280.051955850436	0
2009	227.224978798587	3.02179262008639	0.000415025277551542	0.198261760131	0	1.62205732630111	223.263887850764	4.74262129975867	279.424981975563	0
2010	202.066528945133	2.65093184480935	0.000375988034821242	0.213312587790048	0	1.81993956073266	251.076400022171	4.54357158669728	283.366771801591	0
2011	336.224731942988	4.13754137361549	0.000674723626729271	0.626572098090734	0	1.68415090963927	186.319717019448	6.44412187887427	277.440484623018	0
