siteNo,date,discharge
basin0,1981-01-01,69.1551557962
basin0,1981-01-02,67.0673799554
basin0,1981-01-03,65.1473061646
basin0,1981-01-04,63.3851978704
basin0,1981-01-05,61.762738942
basin0,1981-01-06,60.2687052211
basin0,1981-01-07,58.8686295747
basin0,1981-01-08,57.575291386
basin0,1981-01-09,56.3662090408
basin0,1981-01-10,55.2544111952
basin0,1981-01-11,54.2352422434
basin0,1981-01-12,53.3514687019
basin0,1981-01-13,52.4670831714
basin0,1981-01-14,51.652151587
basin0,1981-01-15,50.8764578801
basin0,1981-01-16,50.139385734
basin0,1981-01-17,49.4498095835
basin0,1981-01-18,48.7833789219
basin0,1981-01-19,48.1609468403
basin0,1981-01-20,47.6904401343
basin0,1981-01-21,47.3241458679
basin0,1981-01-22,47.0149639632
basin0,1981-01-23,46.1365907837
basin0,1981-01-24,45.5803121065
basin0,1981-01-25,45.0672504223
basin0,1981-01-26,44.6672888721
basin0,1981-01-27,44.875253012
basin0,1981-01-28,44.6924369501
basin0,1981-01-29,44.2450899592
basin0,1981-01-30,43.7906027368
basin0,1981-01-31,43.3739065461
basin0,1981-02-01,42.991494893
basin0,1981-02-02,719.409958898
basin0,1981-02-03,665.958305081
basin0,1981-02-04,718.556520519
basin0,1981-02-05,447.267070043
basin0,1981-02-06,323.329761381
basin0,1981-02-07,255.795961606
basin0,1981-02-08,223.590306563
basin0,1981-02-09,307.52465472
basin0,1981-02-10,310.381114902
basin0,1981-02-11,608.425919505
basin0,1981-02-12,1404.55068957
basin0,1981-02-13,1016.85477407
basin0,1981-02-14,533.305918315
basin0,1981-02-15,367.743556299
basin0,1981-02-16,297.264244453
basin0,1981-02-17,330.246303053
basin0,1981-02-18,302.924874588
basin0,1981-02-19,280.769192055
basin0,1981-02-20,1130.83422681
basin0,1981-02-21,2106.99129571
basin0,1981-02-22,1486.35329577
basin0,1981-02-23,913.540392667
basin0,1981-02-24,803.95750362
basin0,1981-02-25,810.099984532
basin0,1981-02-26,373.880858519
basin0,1981-02-27,324.50700905
basin0,1981-02-28,248.459812745
basin0,1981-03-01,190.968971893
basin0,1981-03-02,177.431262349
basin0,1981-03-03,148.770567846
basin0,1981-03-04,141.211086466
basin0,1981-03-05,128.3545878
basin0,1981-03-06,113.956627669
basin0,1981-03-07,106.442957441
basin0,1981-03-08,100.059914746
basin0,1981-03-09,96.9254622103
basin0,1981-03-10,89.6496998935
basin0,1981-03-11,87.0323349615
basin0,1981-03-12,81.897433616
basin0,1981-03-13,79.695455852
basin0,1981-03-14,80.1919056474
basin0,1981-03-15,79.7542927149
basin0,1981-03-16,76.467137231
basin0,1981-03-17,73.899266331
basin0,1981-03-18,70.3075361842
basin0,1981-03-19,68.16840791
basin0,1981-03-20,66.1798177766
basin0,1981-03-21,64.3477650363
basin0,1981-03-22,63.1740811212
basin0,1981-03-23,61.2630060243
basin0,1981-03-24,59.6747135572
basin0,1981-03-25,58.2577298488
basin0,1981-03-26,56.9412404453
basin0,1981-03-27,55.7165308687
basin0,1981-03-28,54.5708365574
basin0,1981-03-29,53.4982002261
basin0,1981-03-30,52.4931751093
basin0,1981-03-31,87.9659931442
basin0,1981-04-01,44.6026966565
basin0,1981-04-02,203.605068233
basin0,1981-04-03,98.9020512268
basin0,1981-04-04,90.7919408807
basin0,1981-04-05,84.085358131
basin0,1981-04-06,87.2117352017
basin0,1981-04-07,88.0806779069
basin0,1981-04-08,82.2150911462
basin0,1981-04-09,76.4524538061
basin0,1981-04-10,75.5205294445
basin0,1981-04-11,73.4808390043
basin0,1981-04-12,69.4539816653
basin0,1981-04-13,67.6412309431
basin0,1981-04-14,71.0820062014
basin0,1981-04-15,111.347246769
basin0,1981-04-16,149.557513056
basin0,1981-04-17,147.148129896
basin0,1981-04-18,130.372881104
basin0,1981-04-19,122.19490762
basin0,1981-04-20,109.370293459
basin0,1981-04-21,99.5360952153
basin0,1981-04-22,91.2294985841
basin0,1981-04-23,83.9967430891
basin0,1981-04-24,93.4237436373
basin0,1981-04-25,101.600355817
basin0,1981-04-26,101.736554877
basin0,1981-04-27,92.5726587582
basin0,1981-04-28,85.0033259161
basin0,1981-04-29,93.0261197475
basin0,1981-04-30,132.526388908
basin0,1981-05-01,159.557259135
basin0,1981-05-02,146.049213854
basin0,1981-05-03,127.271298959
basin0,1981-05-04,113.117577648
basin0,1981-05-05,102.090247717
basin0,1981-05-06,93.3420452602
basin0,1981-05-07,86.066099389
basin0,1981-05-08,79.9153650604
basin0,1981-05-09,74.6447553826
basin0,1981-05-10,70.0760553874
basin0,1981-05-11,77.5797672974
basin0,1981-05-12,2352.77200326
basin0,1981-05-13,1613.31112729
basin0,1981-05-14,1425.4314558
basin0,1981-05-15,450.865426199
basin0,1981-05-16,481.032317181
basin0,1981-05-17,575.625610713
basin0,1981-05-18,371.537495219
basin0,1981-05-19,262.791443452
basin0,1981-05-20,205.801583749
basin0,1981-05-21,170.043010361
basin0,1981-05-22,145.191455944
basin0,1981-05-23,127.257202021
basin0,1981-05-24,113.607157885
basin0,1981-05-25,102.76160647
basin0,1981-05-26,93.925098271
basin0,1981-05-27,84.617898247
basin0,1981-05-28,82.8310779512
basin0,1981-05-29,82.0583505535
basin0,1981-05-30,79.566471807
basin0,1981-05-31,78.4202843519
basin0,1981-06-01,74.9833077529
basin0,1981-06-02,70.583165495
