 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	11/28/2014 2:55:34 PM
StationID:	20141128_test
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Initial Abstracted Flow (mm/day)	Overland Flow (mm/day)	PET (mm/day)	AET(mm/day)	Average Soil Root zone (mm)	Average Soil Unsaturated Zone (mm)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)	Water Use (cfs)	Discharge + Water Use (cfs)
01/01/1981	48.2674995462	0.689705993486	2.50293901549e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.3225938885	0.000824240242643	256.829775426	0.0	296.052896878	0.0	20.88765625	69.1551557962
01/02/1981	46.1797237054	0.65998496723	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.3634804834	0.000362109272413	266.747232762	1.04274573359	296.706934472	0.0	20.88765625	67.0673799554
01/03/1981	44.2596499146	0.632572411941	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.4043670782	0.000868124574822	266.237232762	0.0	297.334258555	0.0	20.88765625	65.1473061646
01/04/1981	42.4975416204	0.607389383302	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.4452536731	0.00174121538063	275.727232762	1.0	297.936517152	0.0	20.88765625	63.3851978704
01/05/1981	40.875082692	0.584193223199	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.4861402679	0.00177380516129	275.217232762	0.0	298.514502562	0.0	20.88765625	61.762738942
01/06/1981	39.3810489711	0.562830188841	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.5270268628	0.000493037848679	274.707232762	0.0	299.069589824	0.0	20.88765625	60.2687052211
01/07/1981	37.9809733247	0.542807934095	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.5679134577	0.00193157607755	379.74867963	10.5551446868	299.607206759	0.0	20.88765625	58.8686295747
01/08/1981	36.687635136	0.524312518006	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6085255672	0.000736194466132	379.23867963	0.0	300.123485618	0.0	20.88765625	57.575291386
01/09/1981	35.4785527908	0.507021134721	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6490230472	0.000700574890612	378.72867963	0.0	300.623475022	0.0	20.88765625	56.3662090408
01/10/1981	34.3667549452	0.491122035458	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.00220239967436	378.21867963	0.0	301.089557378	0.0	20.88765625	55.2544111952
01/11/1981	33.3475859934	0.476548112951	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.0119832344647	377.70867963	0.0	301.527880002	0.0	20.88765625	54.2352422434
01/12/1981	32.4638124519	0.463914068786	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.00232714471544	377.19867963	0.0	301.933847837	0.0	20.88765625	53.3514687019
01/13/1981	31.5794269214	0.451263673947	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.00599163900972	376.68867963	0.0	302.340493364	0.0	20.88765625	52.4670831714
01/14/1981	30.764495337	0.439608894157	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.00511441659723	376.17867963	0.0	302.730795224	0.0	20.88765625	51.652151587
01/15/1981	29.9888016301	0.428514274984	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.00614198244928	375.66867963	0.0	303.111809951	0.0	20.88765625	50.8764578801
01/16/1981	29.251729484	0.417971808762	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.00818991214437	408.895989748	3.37373101181	303.483263246	0.0	20.88765625	50.139385734
01/17/1981	28.5621533335	0.408109331579	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.00571915359379	439.547500679	3.1161510931	303.84018516	0.0	20.88765625	49.4498095835
01/18/1981	27.8957226719	0.398576646956	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.00905077655246	439.037500679	0.0	304.19335647	0.0	20.88765625	48.7833789219
