 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	9/16/2014 9:45:23 AM
StationID:	01414500
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Initial Abstracted Flow (mm/day)	Overland Flow (mm/day)	PET (mm/day)	AET(mm/day)	Average Soil Root zone (mm)	Average Soil Unsaturated Zone (mm)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1/1/1981	17.4971165057131	0.657717878504369	2.37894044297902E-08	0	9.73770742034851E-06	0	1E-07	1E-07	62.5061909178746	0.0022072876840635	211.978729728836	0	335.354158587574	0
1/2/1981	16.8641770999588	0.633930242753705	2.37894044772067E-08	0	9.73770742034851E-06	0	1E-07	1E-07	62.5471941466412	0.000988709081652919	221.468729728836	1	335.985548892122	0
1/3/1981	16.2738507384235	0.611730430179761	2.37894044772089E-08	0	9.73770742034851E-06	0	1E-07	1E-07	62.5881973754077	0.0014245278573943	220.958729728836	0	336.596374603717	0
1/4/1981	15.7242019987797	0.591055787464014	2.37894044772089E-08	0	9.73770742034851E-06	0	1E-07	1E-07	62.6292006041743	0.00168689234952818	229.738241465861	0.928951173702557	337.186174532368	0
1/5/1981	15.210842280128	0.571744605311306	2.37894044772089E-08	0	9.73770742034851E-06	0	1E-07	1E-07	62.6702038329409	0.00229302179242846	229.228241465861	0	337.756894615962	0
1/6/1981	14.7317438764923	0.553721732000487	2.37894044772089E-08	0	9.73770742034851E-06	0	1E-07	1E-07	62.7112070617074	0.00136511437443116	228.718241465861	0	338.30780507658	0
1/7/1981	14.2832824683932	0.536851200732386	2.37894044772089E-08	0	9.73770742034851E-06	0	1E-07	1E-07	62.752210290474	0.000711380720986677	347.202051672107	11.8993810206245	338.842041025362	0
1/8/1981	13.8594463729304	0.520906951404418	5.63604670869581E-08	0	9.70513487894766E-06	0	1E-07	1E-07	62.7925087054165	0.00133265919186396	346.692051672106	0	339.361494119733	0
1/9/1981	13.4607309528091	0.505907725948481	5.63619458109129E-08	0	9.70513487894766E-06	0	1E-07	1E-07	62.8323932470497	0.00228579292127609	346.182051672106	0	339.866106459541	0
1/10/1981	13.0876024610073	0.491871078222379	2.37908832682976E-08	0	9.73770742034851E-06	0	1E-07	1E-07	62.8526686488957	0.00912829242230918	345.672051672107	0	340.342567035585	0
