 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	9/16/2014 9:45:22 AM
StationID:	01414500
Water Year Annual mean
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Overland Flow (mm/day)	PET (mm/year)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1982	51.9592651443617	1.88448793209944	0.000200382053042879	0.0538800524497946	0	1.65754388937855	151.784586901664	3.25307921979076	322.567449951858	0
1983	57.7305302441197	2.03376585074928	0.000254180929792994	0.120326499287013	0	1.86881531966947	45.4285069248492	3.64360968481834	324.292855662133	0
1984	69.3674413624637	2.47106866625039	0.000320766752859867	0.116541715574178	0	1.69731572071697	59.8273155955668	4.24043605217277	319.782052828237	0
1985	34.972629608628	1.22542976256024	0.000190654909150742	0.0782295697928555	0	1.81486149637189	27.2307552845683	3.15996069174247	327.655089513241	0
1986	61.79085761212	2.18546754299985	0.000276849664095956	0.11938868010117	0	1.76830406595622	48.815324193335	3.8178697457857	320.100573249128	0
1987	56.9843176700636	2.0075321224709	0.000283215811949705	0.116769027437751	0	1.78595273244455	173.358655038987	3.86422040023226	324.047373191301	0
1988	43.4338388069966	1.55417031030404	0.000193064246657035	0.0680163096923507	0	1.87874236111709	36.9751278580719	3.1286795528362	323.626909408661	0
1989	50.3155631130805	1.76980820626982	0.000250192301628798	0.106529157263843	0	1.75269777174114	5.46993545242852	3.5472923719491	323.622085360179	0
1990	58.0001444111014	2.06516981744974	0.000239569245218069	0.0979315565038466	0	1.73740056841471	71.2499259025025	3.71074530069646	319.447242723556	0
1991	44.8113269081131	1.54560868890914	0.000215532817509139	0.126433333275977	0	1.91268212358909	14.3718897640823	3.24546972973283	326.781876154219	0
1992	43.7196058123942	1.54235634860557	0.000196087050334329	0.0901691901454604	0	1.63194533865359	4.86220629604219	3.10437763975456	324.411325607174	0
1993	51.0572003063305	1.84031465499578	0.000212948512799422	0.0642225802233515	0	1.68191770306219	141.63257075783	3.35285226469684	325.809875858489	0
1994	62.0948805436626	2.23963706564807	0.000265286655916172	0.0759934009377286	0	1.70428878751607	311.207012906926	3.9497142655566	319.701910660206	0
1995	34.6204546870116	1.21654701427109	0.000155362357912735	0.0759091520857384	0	1.8088940356773	17.5637975707294	2.71591298207066	329.698139342937	0
1996	89.7122078016187	3.09290478072058	0.000433885288967429	0.251117463513584	0	1.57933542927239	139.522194803112	5.03751630835673	315.452521916678	0
1997	74.0856346736062	2.47417157312903	0.000322445201932593	0.290047351572009	0	1.57590446042781	69.5730630477063	4.00773515750204	319.386580517689	0
1998	74.3905526683872	2.65393183729429	0.000315852987176678	0.119830358829023	0	1.76743169288508	47.8344478075246	4.17904808078846	318.569133809489	0
1999	54.6363021212188	1.78956254433742	0.000310607816677239	0.250524548330441	0	1.83928649575002	8.31069948025395	3.70628841892147	324.782857285271	0
2000	69.9511064494137	2.43473548975369	0.0002861533860796	0.173179288650198	0	1.66411952802483	37.1537448591055	4.14712669343609	316.261979330184	0
2001	42.3023630953259	1.46478746530173	0.000220206088105434	0.113443090149978	0	1.69653968701202	117.011646135251	3.13166414151264	327.185597836413	0
2002	43.1304796410742	1.55033391580563	0.000186788543389734	0.0596095749174587	0	1.88722872008913	5.9821462946379	3.2185294739484	325.748148659972	0
2003	86.3026452776598	3.02818958254808	0.00035149977802269	0.188779804511921	0	1.58983240939062	488.789146375766	4.79012164721048	314.384885553706	0
2004	89.2071939101264	3.04361202469459	0.000414140607361099	0.281915056132494	0	1.68002497491414	116.045026601807	4.92971095192471	315.483977619814	0
2005	63.2700126931284	2.22405564447396	0.000306968439532403	0.136658178416796	7.44157488211155E-08	1.80541961658766	156.207797509012	3.80897661331266	321.883965275494	0
2006	100.845521725114	3.25092864481089	0.000514817193018901	0.50895196154156	0	1.71432878895553	22.2455215534141	5.39545291607553	315.586112318485	0
2007	69.6685134955389	2.42896648443144	0.000323325060820457	0.168881563533933	0	1.76571942661007	125.210727515142	4.15308839550137	319.737717718253	0
2008	78.3090265888492	2.77651735984279	0.000384668646834122	0.142381395938045	0	1.73128922081653	231.8915556246	4.68676124053551	317.606600953881	0
2009	77.4159357218478	2.7210310562091	0.000348058218804924	0.16530241077841	0	1.6484816704188	181.160271663914	4.42761072875125	315.70165625936	0
2010	66.0161795834498	2.2641290142615	0.000293785790412116	0.197724191821846	0	1.84155924822421	192.620112850608	4.13652415120488	320.959938446181	0
2011	113.040950576426	3.72356585424665	0.000575931737049111	0.489126598100971	0	1.72285536739022	145.929236053524	6.02318041823529	312.598828048812	0
