 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	10/29/2013 12:50:47 PM
StationID:	2013-29-10_b
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Initial Abstracted Flow (mm/day)	Overland Flow (mm/day)	PET (mm/day)	AET(mm/day)	Average Soil Root zone (mm)	Average Soil Unsaturated Zone (mm)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1/1/1981	188.245484504	0.504560577395	8.64952269928e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.593091386	5.19971895174e-05	102.808503316	0.524233505503	340.187401683	4.98593685991e-05
1/2/1981	183.078234537	0.490655493985	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.6349334912	3.26346361254e-05	132.066327075	2.97678237595	340.707781639	4.85789246078e-05
1/3/1981	178.187129218	0.477510018167	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.6767755964	2.16312009056e-05	135.325382799	0.376905572377	341.214110169	4.73341165586e-05
1/4/1981	173.533991559	0.465010027686	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.7186177016	7.1699565793e-05	168.794754267	3.3979371468	341.707097593	4.61179806045e-05
1/5/1981	169.127294001	0.453174733974	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.7604598068	0.000149685616209	168.284754267	0.0	342.187444818	4.49355335248e-05
1/6/1981	164.961843474	0.441988845207	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.802301912	2.02080930845e-05	167.774754267	0.0	342.655657615	4.37886691919e-05
1/7/1981	160.963068067	0.431251021541	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.8441440172	0.000360623473784	263.057897252	9.57931429847	343.112728149	4.26601159684e-05
1/8/1981	157.180179617	0.421092830485	2.05720144906e-06	0.0	0.00113843996035	3.3101054132e-06	1.03842309733e-07	1e-07	44.8859849818	0.000103428779139	262.547897252	0.0	343.558402439	4.15658090935e-05
1/9/1981	153.605975721	0.411498360912	2.05725557708e-06	0.0	0.00113843996035	3.3101054132e-06	1.03842309733e-07	1e-07	44.9225827843	7.5591809644e-05	262.037897252	0.0	343.993888039	4.05005514895e-05
1/10/1981	150.187487337	0.402324460778	8.65006402165e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.9457102393	0.00178678034052	261.527897252	0.0	344.407865987	3.94533942173e-05
1/11/1981	147.269732207	0.394495785061	8.64952274137e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.9457102393	8.62026471387e-05	261.017897252	0.0	344.78268154	3.8541150676e-05
1/12/1981	144.410108931	0.386820324808	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.9457102393	9.21482925667e-05	260.507897252	0.0	345.150595572	3.76330748155e-05
1/13/1981	141.649417153	0.379410314113	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.9457102393	0.000125742691653	259.997897252	0.0	345.510517781	3.67393123233e-05
1/14/1981	139.134812723	0.372662286184	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.9457102393	8.00814448279e-05	259.487897252	0.0	345.863112866	3.59078011045e-05
1/15/1981	136.466429514	0.365499078522	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.9457102393	0.000532147211248	258.977897252	0.0	346.20827002	3.50123623145e-05
1/16/1981	134.186235205	0.359381439501	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.9457102393	8.08374248036e-05	283.790854046	2.53229567948	346.54624742	3.42293446779e-05
1/17/1981	131.697010073	0.35269960439	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.9457102393	0.00185094509134	321.799504176	3.85186501293	346.878720808	3.33632496809e-05
1/18/1981	129.476435241	0.346741600565	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.9457102393	0.000538000743666	321.289504176	0.0	347.202168186	3.25746033714e-05
1/19/1981	127.382856298	0.34112452938	8.64952271679e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.9457102393	9.87559180289e-05	320.779504176	0.0	347.520404482	3.18174011401e-05
1/20/1981	127.73550812	0.339569650869	0.000102918274578	0.0	0.0123848947322	3.62148318118e-05	0.686520702909	0.661118483085	44.9457102393	0.0203249262812	308.584260408	0.0	347.344225018	3.15775309162e-05
1/21/1981	130.820534809	0.347327592238	8.65891920515e-05	0.0	0.0113635765626	3.32084968004e-05	0.680514696296	0.65533470706	44.9457102393	0.000809017854311	296.910860661	0.0	347.190622803	3.25191758683e-05
1/22/1981	128.170497264	0.342327510196	5.70120847402e-07	0.0	0.000922127127912	2.67871347984e-06	0.603695432632	0.581357862881	44.9457102393	0.000103493767179	290.684806797	0.0	347.518878756	3.18220188966e-05
1/23/1981	127.119715657	0.33916435626	2.07771639109e-05	0.0	0.00557735981017	1.62441280514e-05	0.639862862543	0.616187047636	44.9457102393	0.00051551375249	282.019736381	0.0	347.634168616	3.13799669227e-05
1/24/1981	135.929357841	0.357068254725	0.000576869379064	3.08857261326e-05	0.029155938379	8.609774496e-05	0.613141001509	0.590453932586	44.9457102393	0.0020513569716	271.288267029	0.846864966464	346.685977387	3.36032439101e-05
1/25/1981	141.115599456	0.369228150559	0.000590787186157	0.0	0.0295014673413	8.71419120984e-05	0.625484580298	0.602340781811	44.9457102393	0.00376104054284	259.320305767	0.751174953583	345.733723387	3.4979105712e-05
1/26/1981	145.588525216	0.382258373487	0.000365410390213	0.0	0.0232504662928	6.84235173251e-05	0.799522553294	0.769939108006	44.9457102393	0.0377417815086	241.060707065	0.0	345.112258675	3.64195559614e-05
1/27/1981	154.047419462	0.403718448526	0.000585002859269	0.0	0.029358349826	8.67119043925e-05	0.865069561209	0.833060785561	44.9457102393	0.00437417472556	219.340419243	0.0	344.17131033	3.87474391122e-05
1/28/1981	161.227683075	0.423862564027	0.00041430461203	0.0	0.024744784769	7.28855737754e-05	0.820681534356	0.790315177372	44.9457102393	0.00237910922119	200.186974914	0.0	343.491844711	4.08050869184e-05
1/29/1981	163.224049744	0.431171642107	0.000210848289753	0.0	0.0176944391811	5.19021987609e-05	0.75632548829	0.728340394424	44.9457102393	0.045553823983	184.896964872	0.0	343.183144673	4.14854217673e-05
1/30/1981	161.975043949	0.432155920401	8.74485500452e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.9457102393	0.000208770605713	201.584095201	1.71971303287	343.549279416	4.15389348887e-05
1/31/1981	158.01594829	0.422849839343	8.64952704487e-07	0.0	0.00113963226366	3.31054153608e-06	1.03842309733e-07	1e-07	44.9457102393	0.00114928456173	201.074095201	0.0	343.945279275	4.05635742308e-05
2/1/1981	155.488071365	0.418148658336	3.92687920316e-11	0.0	0.0	0.0	0.575996057665	0.545892244926	44.6500067735	0.0	198.506082299	0.0	344.386056844	4.00645716598e-05
2/2/1981	1779.93478775	2.69811982953	0.398555372921	1.46296573264	0.599865326927	0.00542220763723	0.986382213934	0.946153809625	44.9457102393	0.0352037648567	154.395681573	41.1825346748	304.014886159	0.000521586126531
