 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	tnwillia
Date:	11/25/2013 10:09:50 AM
StationID:	0
Water Year Annual mean
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Overland Flow (mm/day)	PET (mm/year)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1982	93.9125234179523	1.24735010437075	0.00422240834687661	0.0352793528186552	0	1.88316315773111	43.8823611196864	2.8960781104954	546.087827344325	0
1983	137.405321112378	1.7862431632727	0.00591492178054957	0.0917149670125708	3.65044350027729E-06	2.12472972740508	40.645367958679	3.3957935489522	545.186027948483	0
1984	172.172423130796	2.23484607816786	0.00741532101289794	0.113739430376661	8.81661619680486E-06	1.89655945590253	20.0577578238207	4.01930347693912	529.898835377007	0
1985	59.2827852944287	0.695703449400878	0.00482504032016904	0.109360460800797	5.17244374555705E-06	2.02143466370353	28.4161235699526	2.9318362308581	564.247002614358	0
1986	159.309922816047	2.10685073937789	0.00656542722021868	0.066766644468376	5.20392681629491E-06	1.91418694500685	63.1028931985505	3.7119514134558	527.900136750292	0
1987	135.162341491485	1.75632910445932	0.0066900463986154	0.0834203040695178	1.68368127847835E-05	1.96764632773572	115.359496405514	3.7035819224895	541.72500652291	0
1988	105.953907561348	1.40569225374896	0.00471505747454914	0.0460191691878447	7.38241487918817E-07	1.98458619146986	40.7152298148983	2.90069691085263	539.225991083753	0
1989	115.266444291973	1.48229497239106	0.00548145779805183	0.0866116720099098	8.04815845206594E-07	1.88536587337843	2.57725017062372	3.39366937319054	541.978959665265	0
1990	128.469478253878	1.68151115202802	0.00564768805061991	0.0696206325209044	4.07919923636876E-06	1.93348874208977	16.0972936536762	3.47639829691812	534.783832365752	0
1991	108.592816989639	1.41324154118126	0.00467502670504757	0.0730454593413383	3.89981035764627E-06	2.14892070337334	22.408306034648	2.98479378221285	544.832982864791	0
1992	101.550221088376	1.3285988967226	0.00498250022557741	0.0563955232971866	1.4502647482001E-07	1.85404327582041	4.82044415645802	3.24057829144013	542.898372725236	0
1993	126.400052476414	1.67336855760354	0.00525066764773149	0.0540803157378288	1.34907924321259E-07	1.93794049030324	62.2137201249783	3.16408371416971	541.485063061542	0
1994	161.583185459854	2.07060672541929	0.00699338340476783	0.129761557394217	2.70464524814825E-07	1.90359055241333	248.425681535622	4.09248491049446	530.354511086987	0
1995	87.2278818525567	1.16458347301413	0.00319447403529387	0.0353558355919416	1.97070269330831E-07	2.08996271764347	13.6818632159163	2.44590525580878	550.273967162107	0
1996	194.876787420351	2.49797111806769	0.00882862876198987	0.154188022507323	1.35346052418834E-05	1.88960059368353	199.229165070159	4.64958152501246	526.232597363617	0
1997	143.318657059428	1.81401494128088	0.00661752241025032	0.142460350636338	1.26697837374328E-05	1.92744631234221	3.88093025260201	3.48410344922354	538.747131705309	0
1998	151.49678733657	2.01323609736749	0.00598521304969367	0.0559895100313578	2.86091238376833E-07	2.10966839040207	14.0134100472767	3.63717192460475	532.090205692944	0
1999	105.581163154699	1.28725532617435	0.00604379542962986	0.159274133397086	1.13569194916522E-05	2.11824624734276	23.913684819351	3.20378373727534	551.994725645206	0
2000	122.317918970085	1.61870461985966	0.00455657922095144	0.0508206381746863	1.26432396875559E-07	1.91934472619905	82.0736886489778	3.28845363090674	535.590039733637	0
2001	85.5438691680444	1.10460591524152	0.00474409258141367	0.0608470573442397	4.44443042965589E-06	1.98371170867401	29.3300220644271	3.01019256149025	550.95493486225	0
2002	91.7818708769987	1.22151929845111	0.00421922212412161	0.0349823121262233	0	2.21154766798604	1.25599623649466	2.93505913314085	548.729771620338	0
2003	228.358617994445	2.98876266025817	0.00965339751442524	0.117496668624828	1.49668471790662E-05	1.81994854858434	220.655291547987	5.04985232499826	517.331528907979	0
2004	224.930101943662	2.89822228656784	0.00946345476614319	0.160498237955966	1.35310326369657E-05	1.96466454845085	56.595210510382	5.06605767764043	516.202125139284	0
2005	177.623356743435	2.35518588352092	0.00646988896778663	0.0733223093144411	1.36326662932715E-05	2.10952541426113	43.3412179064842	3.76316143413679	533.157783898543	0
2006	218.96075787147	2.68689330264115	0.0112389590932704	0.289119832044693	2.56529537400549E-05	2.03785325672166	14.9177721512195	5.19478730134702	525.706780209118	0
2007	164.225063341452	2.14014242843157	0.00657705922237931	0.100269556525453	7.12932816622667E-06	2.04647829537962	63.8325943927211	3.89945774495618	530.61675725162	0
2008	196.316396163298	2.55395044173153	0.00951120879260849	0.114872535001337	5.208178024068E-06	2.04493425039499	29.6543298154011	4.80030314224284	527.81731221575	0
2009	143.081147038803	1.91177515648179	0.00522175972387893	0.0371153335754233	4.4323189400797E-06	1.88967431838634	52.3547595937559	3.69477873718407	530.388526387213	0
2010	123.212151711748	1.61277639449693	0.00522132694287414	0.0711776999136436	1.75349876568281E-07	2.11972987686219	9.49289478267601	3.40599942677839	541.778559361346	0
2011	269.709905153107	3.39329755809678	0.0122717315929713	0.270373403657396	8.07910209017598E-05	1.94538336418182	122.323193059819	5.86346447925503	516.002231154198	0
