# JAS_WU																								
# Units: Mgal/day																								
# released 2014, March 7
huc12	newhydroid	AqGwWL	CoGwWL	DoGwWL	InGwWL	IrGwWL	LvGwWL	MiGwWL	ReGwWL	TeGwWL	WsGwWL	AqSwWL	CoSwWL	InSwWL	IrSwWL	MiSwWL	TeSwWL	WsSwWL	InGwRT	InSwRT	STswRT	WSgwRT	WSunkTR	WStrans
20401010101	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.00225682	0	0	0	0	1	0
20401010101	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.016137437	0	0	0	0	1	0
20401010101	11	0	0	0	0	0	0	0	1	0	-5.32E-05	0	0	0	0	0	0	-0.021012399	0	0	0	0	1	0
20401010101	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.021787675	0	0	0	0	1	0
20401010101	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.027395508	0	0	0	0	1	0
20401010101	12	0	0	0	0	0	0	0	1	0	-2.65E-06	0	0	0	0	0	0	-0.052423916	0	0	0	0	1	0
20401010101	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.058066851	0	0	0	0	1	0
20401010102	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.000150877	0	0	0	0	1	0
20401010102	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-3.33E-05	0	0	0	0	1	0
20401010102	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010102	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010102	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-7.07E-05	0	0	0	0	1	0
20401010102	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-2.04E-05	0	0	0	0	1	0
20401010102	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010103	27	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010103	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010103	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010103	33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010103	29	0	0	0	0	0	0	0	1	0	-8.88E-05	0	0	0	0	0	0	-1.57E-05	0	0	0	0	1	0
20401010104	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010104	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010104	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010104	18	0	0	0	0	0	0	0	1	0	-4.63E-07	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010104	44	0	0	0	0	0	0	0	1	0	-0.000684332	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010104	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010104	32	0	0	0	0	0	0	0	1	0	-0.000190692	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010104	35	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	66	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	53	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	64	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	69	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	56	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	58	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	79	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	48	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	63	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	70	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	76	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010105	75	0	0	0	-0.000574378	0	0	0	1	0	-0.000168024	0	0	0	0	0	0	0	0	0	0.000535348	0	1	0
20401010105	41	0	0	0	0	0	0	0	1	0	-3.24E-06	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010106	51	0	0	0	0	0	0	0	1	0	-0.001675006	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010106	73	0	0	0	-0.000211117	0	0	0	1	0	-0.011219195	0	0	0	0	0	0	0	0	0	0.000196771	0	1	0
20401010106	54	0	0	0	0	0	0	0	1	0	-0.012698183	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010106	23	0	0	0	0	0	0	0	1	0	-0.016672032	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010106	25	0	0	0	0	0	0	0	1	0	-0.017578509	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010106	55	0	0	0	0	0	0	0	1	0	-0.02105056	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010106	39	0	0	0	0	0	0	0	1	0	-0.021840688	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010106	38	0	0	0	0	0	0	0	1	0	-0.02920933	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010106	17	0	0	0	0	0	0	0	1	0	-0.029451415	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010106	31	0	0	0	0	0	0	0	1	0	-0.031199709	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010106	37	0	0	0	0	0	0	0	1	0	-0.032463236	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010106	50	0	0	0	-0.000795147	0	0	0	1	0	-0.056030414	0	0	0	0	0	0	0	0	0	0.000741116	0	1	0
