# JFM	
# Units: Mgal/day																									
# released March 2014, reprocessed Sept. 2014																									
huc12	newhydroid	AqGwWL	CoGwWL	DoGwWL	InGwWL	IrGwWL	LvGwWL	MiGwWL	ReGwWL	TeGwWL	WsGwWL	AqSwWL	CoSwWL	InSwWL	IrSwWL	LvSwWL	MiSwWL	TeSwWL	WsSwWL	InGwRT	InSwRT	STswRT	WSgwRT	WSTransRC	WStransNY
020401010101	1	0	0	-0.0105449	0	0	-0.00604406	0	0	0	0	0	0	0	0	-0.00082419	0	0	-0.1994	0	0	0	0	0	0
020401010101	2	0	0	-0.0030638	0	0	-0.002292338	0	0	0	0	0	0	0	0	-0.000312592	0	0	0	0	0	0	0	0	0
020401010102	3	0	0	-0.00251681	0	0	-0.00108042	0	0	0	0	0	0	0	0	-0.00014733	0	0	0	0	0	0	0	0	0
020401010101	4	0	0	-0.00322336	0	0	-0.002070543	0	0	0	0	0	0	0	0	-0.000282347	0	0	0	0	0	0	0	0	0
020401010102	5	0	0	-0.00219643	0	0	-0.001625386	0	0	0	0	0	0	0	0	-0.000221644	0	0	0	0	0	0	0	0	0
020401010102	6	0	0	-0.00111309	0	0	-0.000904578	0	0	0	0	0	0	0	0	-0.000123352	0	0	0	0	0	0	0	0	0
020401010102	7	0	0	-0.012497	0	0	-0.004017526	0	0	0	0	0	0	0	0	-0.000547844	0	0	0	0	0	0	0	0	0
020401010101	8	0	0	-0.0023573	0	0	-0.002290754	0	0	0	0	0	0	0	0	-0.000312376	0	0	0	0	0	0	0	0	0
020401010101	9	0	0	-0.000124868	0	0	-0.000437239	0	0	0	0	0	0	0	0	-5.96234E-05	0	0	0	0	0	0	0	0	0
020401010102	10	0	0	-0.000413789	0	0	-0.000438823	0	0	0	0	0	0	0	0	-5.98394E-05	0	0	0	0	0	0	0	0	0
020401010101	11	0	0	-0.00100845	0	0	-0.001148541	0	0	0	0	0	0	0	0	-0.000156619	0	0	0	0	0	0	0	0	0
020401010101	12	0	0	-0.00794349	0	0	-0.005356173	0	0	0	0	0	0	0	0	-0.000730387	0	0	0	0	0	0	0	0	0
020401010102	13	0	0	-0.00405189	0	0	-0.001588954	0	0	0	0	0	0	0	0	-0.000216676	0	0	0	0	0	0	0	0	0
020401010102	14	0	0	-0.0112412	0	0	-0.004397738	0	0	0	0	0	0	0	0	-0.000599692	0	0	0	0	0	0	0	0	0
020401010104	15	0	0	-0.00563945	0	0	-0.00249194	0	0	0	0	0	0	0	0	-0.00033981	0	0	0	0	0	0	0	0	0
020401010104	16	0	0	-0.00211967	0	0	-0.001791724	0	0	0	0	0	0	0	0	-0.000244326	0	0	0	0	0	0	0	0	0
020401010106	17	0	0	-0.00486652	0	0	-0.001569938	0	0	0	0	0	0	0	0	-0.000214082	0	0	0	0	0	0	0	0	0
020401010104	18	0	0	-0.00338932	0	0	-0.001761628	0	0	0	0	0	0	0	0	-0.000240222	0	0	0	0	0	0	0	0	0
020401020302	19	0	0	-0.00382904	0	0	-0.000640016	0	0	0	0	0	0	0	0	-8.72749E-05	0	0	0	0	0	0	0	0	0
020401010103	20	0	0	-0.00324991	0	0	-0.002441252	0	0	0	0	0	0	0	0	-0.000332898	0	0	0	0	0	0	0	0	0
020401010103	21	0	0	-0.00213475	0	0	-0.001099437	0	0	0	0	0	0	0	0	-0.000149923	0	0	0	0	0	0	0	0	0
020401020302	22	0	0	-0.00959307	0	0	-0.000950523	0	0	0	0	0	0	0	0	-0.000129617	0	0	0	0	0	0	0	0	0
020401010106	23	0	0	-0.00290581	0	0	-0.000598827	0	0	0	0	0	0	0	0	-8.16582E-05	0	0	0	0	0	0	0	0	0
020401010104	24	0	0	-0.000229294	0	0	-0.000232877	0	0	0	0	0	0	0	0	-3.1756E-05	0	0	0	0	0	0	0	0	0
020401010106	25	0	0	-0.00270352	0	0	-0.002011935	0	0	0	0	0	0	0	0	-0.000274355	0	0	0	0	0	0	0	0	0
020401020302	26	0	0	-0.00441635	0	0	-5.70311E-05	0	0	0	0	0	0	0	0	-7.77697E-06	0	0	0	0	0	0	0	0	0
020401010103	27	0	0	-0.00151209	0	0	-0.000725563	0	0	0	0	0	0	0	0	-9.89404E-05	0	0	0	0	0	0	0	0	0
020401010104	28	0	0	-0.000830244	0	0	-0.000505359	0	0	0	0	0	0	0	0	-6.89126E-05	0	0	0	0	0	0	0	0	0
020401010103	29	0	0	-0.00953967	0	0	-0.005341917	0	0	0	0	0	0	0	0	-0.000728443	0	0	0	0	0	0	0	0	0
020401020302	30	0	0	-0.000950923	0	0	-9.18834E-05	0	0	0	0	0	0	0	0	-1.25296E-05	0	0	0	0	0	0	0	0	0
020401010106	31	0	0	-0.00509594	0	0	-0.001853509	0	0	0	0	0	0	0	0	-0.000252751	0	0	0	0	0	0	0	0	0
020401010104	32	0	0	-0.00345288	0	0	-0.00265195	0	0	0	0	0	0	0	0	-0.00036163	0	0	0	0	0	0	0	0	0
020401010103	33	0	0	-0.00263693	0	0	-0.001935894	0	0	0	0	0	0	0	0	-0.000263986	0	0	0	0	0	0	0	0	0
020401020302	34	0	0	-0.00648376	0	0	-0.000521201	0	0	0	-0.2696	0	0	0	0	-7.10729E-05	0	0	0	0	0	0	0	0	0
020401010104	35	0	0	-0.00330532	0	0	-0.001383008	0	0	0	0	0	0	0	0	-0.000188592	0	0	0	0	0	0	0	0	0
020401020301	36	0	0	-0.00493113	0	0	-0.000297829	0	0	0	0	0	0	0	0	-4.0613E-05	0	0	0	0	0	0	0	0	0
020401010106	37	0	0	-0.00337359	0	0	-0.002674126	0	0	0	0	0	0	0	0	-0.000364654	0	0	0	0	0	0	0	0	0
020401010106	38	0	0	-0.00402866	0	0	-0.002401643	0	0	0	0	0	0	0	0	-0.000327497	0	0	0	0	0	0	0	0	0
020401010106	39	0	0	-0.00184825	0	0	-0.001237262	0	0	0	0	0	0	0	0	-0.000168718	0	0	0	0	0	0	0	0	0
020401020301	40	0	0	-0.00211671	0	0	-0.000129904	0	0	0	0	0	0	0	0	-1.77142E-05	0	0	0	0	0	0	0	0	0
020401010105	41	0	0	-0.0040724	0	0	-0.003543848	0	0	0	0	0	0	0	0	-0.000483252	0	0	0	0	0	0	0	0	0
020401020301	42	0	0	-0.0149838	0	0	-0.001143789	0	0	0	0	0	0	0	0	-0.000155971	0	0	0	0	0	0	0	0	0
020401020302	43	0	0	-0.00363249	0	0	-0.000866556	0	0	0	0	0	0	0	0	-0.000118167	0	0	0	0	0	0	0	0	0
020401010104	44	0	0	-0.00373648	0	0	-0.001555682	0	0	0	0	0	0	0	0	-0.000212138	0	0	0	0	0	0	0	0	0
020401010105	45	0	0	-0.00525852	0	0	-0.002517293	0	0	0	0	0	0	0	0	-0.000343267	0	0	0	0	0	0	0	0	0
020401020302	46	0	0	-0.00449178	0	0	-0.00152717	0	0	0	0	0	0	0	0	-0.00020825	0	0	0	0	0	0	0	0	0
020401020302	47	0	0	-0.00130128	0	0	-7.92099E-05	0	0	0	0	0	0	0	0	-1.08014E-05	0	0	0	0	0	0	0	0	0
020401010105	48	0	0	-0.00282917	0	0	-0.001340231	0	0	0	0	0	0	0	0	-0.000182759	0	0	0	0	0	0	0	0	0
020401020303	49	0	0	-0.00390282	0	0	-0.003278484	0	0	0	0	0	0	0	0	-0.000447066	0	0	0	0	0	0	0	0	0
020401010106	50	0	0	-0.0111781	0	0	-0.004706654	0	0	0	0	0	0	0	0	-0.000641816	0	0	0	0	0	0	0	0	0
020401010106	51	0	0	0	0	0	-3.64366E-05	0	0	0	0	0	0	0	0	-4.96862E-06	0	0	0	0	0	0	0	0	0
020401020305	52	0	0	-0.00247244	0	0	-0.000711305	0	0	0	0	0	0	0	0	-9.69961E-05	0	0	0	0	0	0	0	0	0
020401010105	53	0	0	-0.000137111	0	0	-9.34674E-05	0	0	0	0	0	0	0	0	-1.27456E-05	0	0	0	0	0	0	0	0	0
020401010106	54	0	0	-0.000811943	0	0	-0.000389712	0	0	0	0	0	0	0	0	-5.31426E-05	0	0	0	0	0	0	0	0	0
020401010106	55	0	0	-0.000548082	0	0	-0.000977451	0	0	0	0	0	0	0	0	-0.000133289	0	0	0	0	0	0	0	0	0
020401010105	56	0	0	-0.00179068	0	0	-0.00137984	0	0	0	0	0	0	0	0	-0.00018816	0	0	0	0	0	0	0	0	0
020401020302	57	0	0	-0.00851713	0	0	-0.000597243	0	0	0	0	0	0	0	0	-8.14422E-05	0	0	0	0	0	0	0	0	0
020401010105	58	0	0	-0.00122402	0	0	-0.000600411	0	0	0	0	0	0	0	0	-8.18742E-05	0	0	0	0	0	0	0	0	0
020401020303	59	0	0	-0.00127574	0	0	-0.00088557	0	0	0	0	0	0	0	0	-0.00012076	0	0	0	0	0	0	0	0	0
020401020303	60	0	0	-0.00323448	0	0	-0.001959549	0	0	0	0	0	0	0	0	-0.000267211	0	0	0	0	0	0	0	0	0
020401020303	61	0	0	-0.00805167	0	0	-0.00055447	0	0	0	0	0	0	0	0	-7.56095E-05	0	0	0	0	0	0	0	0	0
020401010105	62	0	0	-0.00466983	0	0	-0.001085172	0	0	0	0	0	0	0	0	-0.000147978	0	0	0	0	0	0	0	0	0
020401010105	63	0	0	-0.00336788	0	0	-0.00092517	0	0	0	0	0	0	0	0	-0.00012616	0	0	0	0	0	0	0	0	0
