# AMJ_WU																								
# Units: Mgal/day																								
# released 2014, March 7
huc12	newhydroid	AqGwWL	CoGwWL	DoGwWL	InGwWL	IrGwWL	LvGwWL	MiGwWL	ReGwWL	TeGwWL	WsGwWL	AqSwWL	CoSwWL	InSwWL	IrSwWL	MiSwWL	TeSwWL	WsSwWL	InGwRT	InSwRT	STswRT	WSgwRT	WSunkTR	WStrans
20401010101	9	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.031118993	0	0	-0.00145437	0	0	0	0	0	0
20401010101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.222516962	0	0	-0.010399502	0	0	0	0	0	0
20401010101	11	0	0	0	0	0	0	0	0	0	-4.75E-05	0	0	0	-0.290008522	0	0	-0.013541089	0	0	0	0	0	0
20401010101	4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.300427342	0	0	-0.014040703	0	0	0	0	0	0
20401010101	8	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.377753	0	0	-0.017654577	0	0	0	0	0	0
20401010101	12	0	0	0	0	0	0	0	0	0	-2.37E-06	0	0	0	-0.722879918	0	0	-0.033783717	0	0	0	0	0	0
20401010101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.800676059	0	0	-0.037420212	0	0	0	0	0	0
20401010102	10	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.002080427	0	0	-9.72E-05	0	0	0	0	0	0
20401010102	6	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00045938	0	0	-2.15E-05	0	0	0	0	0	0
20401010102	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010102	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010102	3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000974455	0	0	-4.55E-05	0	0	0	0	0	0
20401010102	14	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000281902	0	0	-1.32E-05	0	0	0	0	0	0
20401010102	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010103	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010103	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010103	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010103	33	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000260422	0	0	0	0	0	0	0	0	0
20401010103	29	0	0	0	0	0	0	0	0	0	-7.93E-05	0	0	0	-0.00102076	0	0	-1.01E-05	0	0	0	0	0	0
20401010104	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010104	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010104	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010104	18	0	0	0	0	0	0	0	0	0	-4.32E-07	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010104	44	0	0	0	0	0	0	0	0	0	-0.000637772	0	0	0	-0.000734544	0	0	0	0	0	0	0	0	0
20401010104	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010104	32	0	0	0	0	0	0	0	0	0	-0.000177718	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010104	35	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00137639	0	0	0	0	0	0	0	0	0
20401010105	66	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.004513919	0	0	0	0	0	0	0	0	0
